Course,Discipline,policy_text,Contributor,Rights for Reuse,Institution,word_count,category
AGRI 1415 Horticulture,Agriculture,"""AI Use Policy 

The use of AI in Professor Eichman’s courses is allowed. However, AI use is never required, and there are specific rules for students who use it. 

Students who use AI in a manner deemed unacceptable by the outline below will be considered to have violated the academic dishonesty policies set forth by the college, which puts the student at risk of failing or expulsion. 

Acceptable Uses of AI in This Course:

1)        Initial Learning: AI can be used to find general information or begin your research into a topic. 
a.        Example: I tell you to select an ecosystem for a paper you’re writing – you can GPT different types of ecosystems to start deciding. 

2)        Brainstorming: AI can help generate ideas for your writing, or help you to plan what you want to present in your paper/assignment/project. 
a.        Ex: You are stuck between tundra or desert ecosystem and want to plan out which you’d prefer to use 

3)        Grammar and Editing: AI can be used for grammar, formatting, and editing.

Prohibited Uses of AI in This Course:

1)        Cheating: Submitting entirely or majorly AI-generated work as your own, including discussion posts, essays, free response quiz/exam questions, and projects, is strictly prohibited. 

2)        Plagiarism/Sourcing: Do not rephrase or paraphrase sources using AI without proper citation. AI cannot be used as a primary or secondary source. You may use AI to find sources, as discussed in “Initial Learning” above, but you cannot cite the AI itself, you must confirm and cite the source it came from.

3)        Misrepresentation: Presenting AI-generated ideas or analysis as your own is considered academic dishonesty. Any time AI is used, you must acknowledge it. See below on how I want you to acknowledge it.

Acknowledgement requirement for AI Use:

WHEN AI IS USED, you must mention what it was used for, which AI was used, and the day you used it. You may add this statement at the end of your assignment (such as after the works cited, or at the bottom of a free-response question). 

Example: “In this paper, ChatGPT 5o was used to help establish a baseline idea to write the paper, then to help locate primary sources A, B, C, and then to edit the grammar in the last 3 pages of the document on 8/18/2025.
""",Hunter Eichman,Public Domain,Austin Community College,386,Education_General
ANTH-6611: seminar in Applied Anthropology,Anthropology,"Use of GAI tools for academic work:  a caution
Please do not use Generative AI tools as a substitute for your own thinking, reflections, and voice.  If you are uncertain, that’s OK, and it’s fine for it to be reflected in your writing.  I prefer that to the smooth and certain bullshit that is extruded by GAI tools.  

The increasing availability of generative artificial intelligence (GAI) tools like ChatGPT presents new challenges for university classes. While many of us have used algorithmic searches (e.g. Google), the new applications provide human-like writing. Things to think about: ChatGPT can help students brainstorm questions they go onto investigate, or create counterarguments to strengthen their essays. However, it can also generate fake knowledge, including citations, and short-circuit the process of reading for understanding. Does it make us rethink what counts as cheating? What counts as learning? Can we write reflectively on our processes as an exercise to help us understand this?

I’ve written more about this issue here: https://link.springer.com/article/10.1007/s42438-023-00440-6#citeas 

In short, don’t do the neoliberal academy’s work for them.  I can’t stop you, and I’m not a cop, so I won’t be using detection software.  But these tools extrude highly mediocre and bland and often very wrong content.  None of you are mediocre, and you deserve better.",Donna Lanclos,Creative Commons 4.0 By,"University of North Carolina, Charlotte",213,Education_General
ACM271 - Intro to Arts & Cultural Management,Arts,"Use of generative AI in class and for assignments
You are welcome to use generative AI tools (e.g. ChatGPT, Dall-e, etc.) in this class as doing so aligns with the course objectives of Creating Mission and Vision Statements, Creating a Sample Budget, and Creating Plans for your own Performing Arts Organization or Museum. You may not use generative AI for the remaining assignments. You are responsible for the information you submit based on an AI query (for instance, that it does not violate intellectual property laws, or contain misinformation or unethical content). Your use of AI tools must be properly documented and cited in order to stay within university policies on academic integrity and the Spartan Code of Honor Academic Pledge.
Remember, AI is not likely to generate a response that would be seen as quality work and should be modified and improved.","Max Evjen

Twitter: @cantus94
Bluesky: @cantus94.bsky.social",,Michigan State University,143,Humanities
CD115  Design Studio 1,Arts,"Submit your own work. If you use a source for support, include quotes and a citation. Academic dishonesty includes taking content from an Internet search, another person/entity, or AI technology such as ChatGPT (either directly or with modification) and representing it as your answer.",Susan Leopold,,Fashion Institute of Technology,44,Humanities
Digital Design Studio,Arts,"Use of AI such as Chat GPT:
This is somewhat new territory at academic institutions and policies are being developed to address the potential negative impact of AI, which might lead to acts of plagiarism as well as diminish learning overall. In this course all your work must be your own, including the small bits of writing that are part of the course project criteria. In an ideal world, Chat GPT can be/become an excellent teaching and learning tool, to help writers learn to edit, to expedite certain repetitive tasks, and to potentially free one up for the more creative parts of a job. This is to say if used judiciously and with integrity, AI/Chat GPT can be a plus. The concern here, however, is that it might diminish outcomes if not utilized properly. Again, for this course, all your work is your own and original, so stay clear of Chat GPT and other AI that creates any work, or part of the work for you. Thank you.",Maura Jurgrau,,Fashion Institute of Technology,168,Humanities
BIOSC_3750 General Microbiology,Biology,"Ethical Use of Generative AI in this Course

Generative AI (GAI) tools, such as ChatGPT, Google Gemini, DALL-E 2, and others, are transforming various aspects of society, including academic and scientific fields. In this course, you may utilize GAI as an editor, translator, idea generator, data visualization tool, or tutor. GAI can be a powerful learning tool, but like all tools, it has limitations and weaknesses that you should be aware of. GAI can fabricate seemingly credible data and generate wholly inaccurate content that is nonetheless highly persuasive. This is especially true when asking it for references, quotations, citations, and calculations. Therefore, it is imperative that you carefully read and verify GAI-generated content when incorporating it into your learning experience.

While GAI can be used to enhance your work, inappropriate and/or unethical use of GAI can negatively impact your education and professional development. Therefore, the following guidelines apply:

1. Graded Assignments and Exams:
   - Do not use GAI to generate answers for graded assignments or exams unless explicitly instructed to do so. Your insights, arguments, and descriptions should be your original thoughts. Violations will be considered academic dishonesty and subject to disciplinary sanctions as determined by the University. 
   - Using GAI to refine or paraphrase your work is acceptable, but the core ideas must be original. If you use GAI to help outline, edit, or aid in completing an assignment, you must cite this and provide a 1-2 sentence description of how GAI was used (e.g., editor, idea generator, data visualization). Failure to cite GAI use, like any other source, is considered plagiarism.

2. Understanding and Enhancing Learning:
   - Use GAI to understand concepts or questions related to lecture materials, establish a study schedule, generate ideas for projects, translate text to supplement English comprehension, or check your grammar and refine your writing style. 
   - Be sure to cite the use of GAI in any assignments you turn in. Be responsible; GAI should be used to enhance learning, not to bypass critical thinking or creativity. When in doubt, consult your instructor for further guidance.

Note: Other University courses and instructors may have different policies regarding the appropriate use of GAI. The above policy applies only to this course. In case of new developments in AI ethics or technology during the semester, the instructor reserves the right to amend this policy to protect academic integrity and ethical standards.
 
[This policy was edited for clarity using ChatGPTo]",Caroline Grunenwald,Contact me for specific permissions,University of Missouri,404,STEM
BI1151 Elements of Microbiology,Biology,"Artificial Intelligence (AI) tools can be valuable for learning when used thoughtfully and responsibly. In this course, you are encouraged to apply concepts you are learning with AI in a guided step-wise fashion. AI may be used to help refine or enhance your work, but only after you have actively engaged with the material yourself.
Using AI to generate complete assignments without first attempting the work independently bypasses the learning process and limits your growth. Since your learning will be assessed through project-based work to prepare you for your exams, it is essential that your work reflects your own understanding and effort.
When used appropriately, AI can support your learning—when misused, it can get in the way of it. If you have any questions about how to use AI tools effectively in this class, please reach out to your professor.",Christine Rodriguez,Public Domain,Fairfield University,140,STEM
BIOL110 Introduction to Biology,Biology,"The use of generative artificial intelligence (AI) tools (e.g., Copliot, ChatGPT, Notebook LM) is an emerging skill, and throughout the semester, I will provide basic tutorials about how to leverage it for our work. In this course, the use of AI is permitted under the following guidelines*:
* Studying and Learning Support: You may use AI tools to study and enhance your understanding of course material.
* Idea Generation: AI may be used to help generate project ideas and explore potential topics.
* Research and Citation: When using AI to research topics, you must cite any information obtained from AI sources, just as you would with books, articles, or websites. Note: AI can sometimes produce factual errors. You are responsible for verifying the accuracy of all information you submit.
* Assignments, Quizzes, and Exams: You may not use AI to generate direct answers to any written assignments, quizzes, or exams.
* Summarizing and Synthesizing Information: You may use AI to help you summarize and synthesize information. In such cases, you must include a brief description of how you used the AI tool in your process. (Guidelines for how to document and submit this verification will be provided during the semester).
*These guidelines were written by me and formatted using Chat GPT.",Wendy St. John,Public Domain,College of Marin,211,STEM
BIOL110L Introduction to Biology Laboratory,Biology,"Due to the hands-on, exploratory nature of the content in this laboratory course, I do not allow any use of generative artificial intelligence (AI) tools (e.g., Copilot, ChatGPT, Notebook LM).",Wendy St. John,Public Domain,College of Marin,30,STEM
Analytics and Information Management courses,Business,"Use of Artificial Intelligence Tools Policy

This policy is designed to guide the responsible use of AI tools, promoting academic integrity, the value of personal intellectual growth, and the safe and ethical use of these tools.

Value of Personal Work and Expression: One of the fundamental goals of higher education is to develop one's ability to express original thoughts and viewpoints. While AI tools, such as ChatGPT, can aid in providing information and understanding, students are reminded that the value of their education comes from developing their own voice and ability to articulate unique perspectives. Using AI tools should not overshadow the importance of personal intellectual growth and expression.

Purpose of Use: AI tools should be used as a supplement to assist in understanding concepts, enhancing study, and providing information. They should not replace thorough research, studying, and understanding of subject material.
Citation and Transparency: If an AI tool is used, the entire chat dialog must be cited and included as an appendix attachment. The relevant information in the chat should be highlighted. This ensures transparency in the use of AI tools and helps to maintain academic integrity.

Reflection on AI Use: If a student chooses to use AI, they must include a reflection of their experience as an addendum at the end of each assignment. This reflection should include what they learned, how the AI was useful, and any limitations or challenges they encountered.

Accuracy of Information and Verification: While AI tools are powerful, they are not infallible. They can sometimes provide inaccurate or outdated information. Students are expected to cross-verify the information obtained from AI tools with other reliable sources and cite these verifying sources in their work.

Limitations of Use: The use of AI tools for assignments should be limited to research and understanding of concepts. They should not be used for completing assignments in their entirety, creating entire business models, or making strategic decisions without proper verification and instructor guidance.

Prohibition on Use During Exams or Quizzes: The use of AI tools is strictly prohibited and forbidden when taking exams or quizzes, unless explicitly required as part of the exam or quiz instructions. Violation of this rule can lead to severe academic penalties.
Ethics and Plagiarism: Students must not pass off the work generated by AI tools as their own. This would constitute plagiarism. All work contributed by AI tools should be appropriately cited, similar to how students would cite a textbook or other resource.
Student Responsibility: It's the responsibility of the student to use AI tools ethically and appropriately. Students must also strive to make their voices heard, ensuring that their original thoughts and perspectives remain at the forefront of their work. This includes respecting the limitations of the tools and using them in a manner consistent with the academic integrity policies of the University.

Instructor's Discretion: Instructors may restrict or specify the use of AI tools for their courses as they see fit, in accordance with the overarching University and College of Business policies.

Privacy and Data Handling: Each AI tool has its own policies regarding privacy and data handling. Students are responsible for understanding and complying with the privacy policies of the AI tools they use. Always exercise caution and avoid sharing sensitive personal information with AI tools.
---
Presumption of AI Use: In today's educational environment, we acknowledge that AI tools have become widely available resources for learning, similar to traditional research tools. To maintain academic integrity while supporting your educational journey:
•        Documentation of AI use or non-use is mandatory for all assignments. Failure to include this statement will result in a score of zero on the assignment.
•        If you use AI tools, you must include the complete chat dialogue as an appendix to your assignment, with relevant information highlighted - this level of documentation helps ensure transparency and supports everyone's learning.
•        If you choose not to use AI tools in your work, you must include a statement confirming this.
•        Undisclosed use of AI tools in assignments may require academic review to ensure fair assessment of your work.
•        Various methods may be used to verify adherence to this policy, including AI detection tools, as part of our regular assessment process.
•        Our focus is on ensuring that AI tools enhance rather than replace your learning and critical thinking development.
This policy is designed to guide the responsible use of AI tools, promoting academic integrity, the value of personal intellectual growth, and the safe and ethical use of these tools.
---
Use of Artificial Intelligence in Student Assessment
Artificial Intelligence (AI) technologies may be used to assist in grading, evaluating student work, and conducting institutional assessments. By submitting work or participating in this course, students acknowledge and agree to the following:
1.        Student work may be analyzed or graded using AI tools.
2.        Student privacy remains a priority, and FERPA guidelines will inform our privacy practices in AI-assisted assessment.
3.        Human oversight will be maintained in the assessment process.
4.        Student work is guarded from unauthorized dissemination.
5.        Only AI systems with zero data retention policies may be used for assessment purposes, ensuring the protection of student data and work.
6.        Students retain their intellectual property rights to their original work.
For questions or concerns about AI use in assessments, contact your instructor.
---
Several GenAI models were used in the creation of this document, including but not limed to ChatGPT, Claude, Co-pilot, and Gemini. -Jan 2025","David M DiSabito Jr, MBA",Public Domain,Western New England University,909,Professional
